,0
count,182.0
mean,1.398488654195608
std,2.084587929145564
min,-0.10798002251640365
25%,0.24520163091993513
50%,0.7379019818209855
75%,1.599434296076866
max,15.911794661303762
skew,3.4632045297727783
kurt,16.194049529955027
