,2021-09-06 23:55:00
count,2819.0
mean,6.735397926043024e+297
std,inf
min,-1.0
25%,-0.0031348815522551643
50%,0.8309084346623599
75%,153.79301830120187
max,1.8987086753515285e+301
skew,
kurt,
prob,0.7197587797091167
upside,9.357854486700486e+297
downside,-0.23806054898004517
