,BTC_5min,ETH_5min,BTC_1day,ETH_1day
count,51787.0,51748.0,182.0,182.0
mean,1.4231633138447278e-07,1.4028331190641648e-05,4.049525194180195e-05,0.003988670782710572
std,0.0028484589272427187,0.00364725243329179,0.04081820676731649,0.05657278862734722
min,-0.08655946171303296,-0.1160062885928297,-0.11791369360120581,-0.2724241565398395
25%,-0.0012290300438468728,-0.0015289525728813585,-0.021883467803980844,-0.02450752544916729
50%,-1.6893007699657978e-05,8.870352594858946e-06,0.0013719904993029913,0.006739381116790044
75%,0.0012161778880855696,0.0015427587348847713,0.02825773162347986,0.03203724994986537
max,0.06469318789629981,0.08941869223703217,0.12801345214200144,0.2163062764161711
