,0
count,182.0
mean,0.0438073028929982
std,0.4553782935686395
min,-0.20116752276587674
25%,-0.08487387604021818
50%,-0.06324924900678894
75%,-0.030724456838917214
max,2.73775072589175
skew,4.561152199818575
kurt,20.774658615862297
