,2021-09-06 23:55:00
count,2774.0
mean,6.167263583997573e+64
std,2.5206208718284262e+66
min,-0.9999992954333607
25%,-0.13233409181805728
50%,0.0
75%,0.1671202374237193
max,1.2870373846751428e+68
skew,48.63478265413876
kurt,2456.5143754970923
prob,0.4015861571737563
upside,1.5357261384209397e+65
downside,-0.2844415896823083
